label,area,perimeter,solidity,eccentricity,centroid_y,centroid_x
46,68.0,29.556349186104043,0.8947368421052632,0.569778917413709,981.2058823529412,1351.485294117647
47,201.0,59.698484809834994,0.8854625550660793,0.734843299183268,995.4427860696518,1752.1044776119404
48,715.0,105.25483399593904,0.9432717678100264,0.7485182885009798,1028.5230769230768,1746.641958041958
49,114.0,46.04163056034261,0.8571428571428571,0.923709057446126,1044.6754385964912,1096.561403508772
50,548.0,100.18376618407358,0.8726114649681529,0.7410926682561467,1055.742700729927,1116.1642335766423
51,34.0,20.485281374238568,0.8947368421052632,0.7839757267921855,1050.7058823529412,1282.3235294117646
52,26.0,15.65685424949238,1.0,0.5440588203494177,1050.5,1236.0
53,37.0,20.48528137423857,0.925,0.5868415240855687,1095.6216216216217,1383.6216216216217
54,87.0,32.14213562373095,0.9560439560439561,0.5448991381893503,1138.2758620689656,422.01149425287355
55,27.0,18.449747468305834,0.9310344827586207,0.9044438156647184,1147.2222222222222,1997.888888888889
56,139.0,41.79898987322333,0.952054794520548,0.38381945115764216,1453.978417266187,580.6115107913669
57,661.0,94.42640687119285,0.9706314243759178,0.4864088284640268,1591.5839636913768,1115.8063540090773
58,288.0,60.8700576850888,0.9696969696969697,0.5032162394509645,1767.079861111111,804.7395833333334
59,1128.0,135.29646455628165,0.9322314049586777,0.48114583867525645,1841.2517730496454,825.2030141843971
60,805.0,105.49747468305831,0.9675480769230769,0.4559563407400495,1844.5739130434783,551.1068322981366
61,334.0,85.01219330881976,0.8652849740932642,0.7334801752750494,1883.8443113772455,1541.494011976048
